Name,Type
Bulbasaur,Grass Poison
Ivysaur,Grass Poison
Venusaur,Grass Poison
Venusaur Mega Venusaur,Grass Poison
Charmander,Fire
Charmeleon,Fire
Charizard,Fire Flying
Charizard Mega Charizard X,Fire Dragon
Charizard Mega Charizard Y,Fire Flying
Squirtle,Water
Wartortle,Water
Blastoise,Water
Blastoise Mega Blastoise,Water
Caterpie,Bug
Metapod,Bug
Butterfree,Bug Flying
Weedle,Bug Poison
Kakuna,Bug Poison
Beedrill,Bug Poison
Beedrill Mega Beedrill,Bug Poison
Pidgey,Normal Flying
Pidgeotto,Normal Flying
Pidgeot,Normal Flying
Pidgeot Mega Pidgeot,Normal Flying
Rattata,Normal
Rattata Alolan Rattata,Dark Normal
Raticate,Normal
Raticate Alolan Raticate,Dark Normal
Spearow,Normal Flying
Fearow,Normal Flying
Ekans,Poison
Arbok,Poison
Pikachu,Electric
Pikachu Partner Pikachu,Electric
Raichu,Electric
Raichu Alolan Raichu,Electric Psychic
Sandshrew,Ground
Sandshrew Alolan Sandshrew,Ice Steel
Sandslash,Ground
Sandslash Alolan Sandslash,Ice Steel
Nidoran♀,Poison
Nidorina,Poison
Nidoqueen,Poison Ground
Nidoran♂,Poison
Nidorino,Poison
Nidoking,Poison Ground
Clefairy,Fairy
Clefable,Fairy
Vulpix,Fire
Vulpix Alolan Vulpix,Ice
Ninetales,Fire
Ninetales Alolan Ninetales,Ice Fairy
Jigglypuff,Normal Fairy
Wigglytuff,Normal Fairy
Zubat,Poison Flying
Golbat,Poison Flying
Oddish,Grass Poison
Gloom,Grass Poison
Vileplume,Grass Poison
Paras,Bug Grass
Parasect,Bug Grass
Venonat,Bug Poison
Venomoth,Bug Poison
Diglett,Ground
Diglett Alolan Diglett,Ground Steel
Dugtrio,Ground
Dugtrio Alolan Dugtrio,Ground Steel
Meowth,Normal
Meowth Alolan Meowth,Dark
Meowth Galarian Meowth,Steel
Persian,Normal
Persian Alolan Persian,Dark
Psyduck,Water
Golduck,Water
Mankey,Fighting
Primeape,Fighting
Growlithe,Fire
Growlithe Hisuian Growlithe,Fire Rock
Arcanine,Fire
Arcanine Hisuian Arcanine,Fire Rock
Poliwag,Water
Poliwhirl,Water
Poliwrath,Water Fighting
Abra,Psychic
Kadabra,Psychic
Alakazam,Psychic
Alakazam Mega Alakazam,Psychic
Machop,Fighting
Machoke,Fighting
Machamp,Fighting
Bellsprout,Grass Poison
Weepinbell,Grass Poison
Victreebel,Grass Poison
Tentacool,Water Poison
Tentacruel,Water Poison
Geodude,Rock Ground
Geodude Alolan Geodude,Rock Electric
Graveler,Rock Ground
Graveler Alolan Graveler,Rock Electric
Golem,Rock Ground
Golem Alolan Golem,Rock Electric
Ponyta,Fire
Ponyta Galarian Ponyta,Psychic
Rapidash,Fire
Rapidash Galarian Rapidash,Psychic Fairy
Slowpoke,Water Psychic
Slowpoke Galarian Slowpoke,Psychic
Slowbro,Water Psychic
Slowbro Mega Slowbro,Water Psychic
Slowbro Galarian Slowbro,Poison Psychic
Magnemite,Electric Steel
Magneton,Electric Steel
Farfetch'd,Normal Flying
Farfetch'd Galarian Farfetch'd,Fighting
Doduo,Normal Flying
Dodrio,Normal Flying
Seel,Water
Dewgong,Water Ice
Grimer,Poison
Grimer Alolan Grimer,Poison Dark
Muk,Poison
Muk Alolan Muk,Poison Dark
Shellder,Water
